"filename", "language", "JavaScript", "Vue", "JSON", "TypeScript", "Markdown", "XML", "HTML", "comment", "blank", "total"
"f:\vue3.0\vue3-zhihu\.eslintrc.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"f:\vue3.0\vue3-zhihu\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"f:\vue3.0\vue3-zhihu\package-lock.json", "JSON", 0, 0, 11376, 0, 0, 0, 0, 0, 1, 11377
"f:\vue3.0\vue3-zhihu\package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"f:\vue3.0\vue3-zhihu\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"f:\vue3.0\vue3-zhihu\src\App.vue", "Vue", 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"f:\vue3.0\vue3-zhihu\src\assets\callout.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\vue3.0\vue3-zhihu\src\components\ColumnList.vue", "Vue", 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"f:\vue3.0\vue3-zhihu\src\components\Dropdown.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"f:\vue3.0\vue3-zhihu\src\components\DropdownItem.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"f:\vue3.0\vue3-zhihu\src\components\GlobalHeader.vue", "Vue", 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"f:\vue3.0\vue3-zhihu\src\components\PostList.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"f:\vue3.0\vue3-zhihu\src\components\ValidateForm.vue", "Vue", 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"f:\vue3.0\vue3-zhihu\src\components\ValidateInput.vue", "Vue", 0, 87, 0, 0, 0, 0, 0, 1, 3, 91
"f:\vue3.0\vue3-zhihu\src\hooks\useClickOutside.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 5, 2, 28
"f:\vue3.0\vue3-zhihu\src\main.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"f:\vue3.0\vue3-zhihu\src\router\index.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"f:\vue3.0\vue3-zhihu\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"f:\vue3.0\vue3-zhihu\src\store\index.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 1, 4, 62
"f:\vue3.0\vue3-zhihu\src\testData.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 1, 2, 67
"f:\vue3.0\vue3-zhihu\src\views\About.vue", "Vue", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"f:\vue3.0\vue3-zhihu\src\views\ColumnDetail.vue", "Vue", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"f:\vue3.0\vue3-zhihu\src\views\CreatePost.vue", "Vue", 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
"f:\vue3.0\vue3-zhihu\src\views\Home.vue", "Vue", 0, 41, 0, 0, 0, 0, 0, 1, 3, 45
"f:\vue3.0\vue3-zhihu\src\views\Login.vue", "Vue", 0, 57, 0, 0, 0, 0, 0, 0, 3, 60
"f:\vue3.0\vue3-zhihu\tsconfig.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 11, 1, 40
"f:\vue3.0\vue3-zhihu\vue.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"Total", "-", 35, 573, 11438, 193, 19, 1, 16, 21, 62, 12358
